Fecha,Compra,Venta
03/05/2013,9.84,9.88
02/05/2013,9.60,9.63
30/04/2013,9.37,9.40
29/04/2013,9.27,9.30
26/04/2013,9.30,9.34
25/04/2013,9.16,9.20
24/04/2013,8.91,8.94
23/04/2013,8.82,8.86
22/04/2013,8.63,8.67
19/04/2013,8.60,8.63
18/04/2013,8.63,8.66
17/04/2013,8.67,8.70
16/04/2013,8.50,8.52
15/04/2013,8.40,8.42
12/04/2013,8.41,8.43
11/04/2013,8.42,8.44
10/04/2013,8.37,8.39
09/04/2013,8.34,8.37
08/04/2013,8.30,8.33
05/04/2013,8.37,8.40
04/04/2013,8.30,8.32
03/04/2013,8.25,8.30
27/03/2013,8.38,8.43
26/03/2013,8.25,8.30
25/03/2013,8.22,8.27
22/03/2013,8.42,8.48
21/03/2013,8.40,8.45
20/03/2013,8.67,8.75
19/03/2013,8.25,8.27
18/03/2013,8.06,8.08
15/03/2013,8.03,8.05
14/03/2013,7.97,7.99
13/03/2013,7.90,7.92
12/03/2013,7.82,7.84
11/03/2013,7.80,7.82
08/03/2013,7.81,7.83
07/03/2013,7.80,7.82
06/03/2013,7.81,7.83
05/03/2013,7.80,7.82
04/03/2013,7.80,7.82
01/03/2013,7.82,7.84
28/02/2013,7.82,7.84
27/02/2013,7.80,7.82
26/02/2013,7.80,7.82
25/02/2013,7.76,7.78
22/02/2013,7.78,7.80
21/02/2013,7.81,7.83
19/02/2013,7.79,7.81
18/02/2013,7.68,7.70
15/02/2013,7.69,7.71
14/02/2013,7.64,7.66
13/02/2013,7.63,7.65
08/02/2013,7.65,7.67
07/02/2013,7.65,7.68
06/02/2013,7.68,7.70
05/02/2013,7.56,7.59
04/02/2013,7.70,7.72
01/02/2013,7.90,7.92
30/01/2013,7.89,7.92
29/01/2013,7.77,7.80
28/01/2013,7.64,7.66
25/01/2013,7.60,7.62
24/01/2013,7.54,7.56
23/01/2013,7.50,7.52
22/01/2013,7.41,7.43
21/01/2013,7.42,7.44
18/01/2013,7.46,7.48
17/01/2013,7.49,7.51
16/01/2013,7.47,7.50
15/01/2013,7.34,7.36
14/01/2013,7.23,7.25
11/01/2013,7.18,7.20
10/01/2013,7.22,7.25
09/01/2013,7.10,7.12
08/01/2013,7.03,7.05
07/01/2013,7.02,7.04
04/01/2013,7.02,7.04
03/01/2013,7.05,7.07
02/01/2013,6.89,6.91
31/12/2012,6.78,6.80
28/12/2012,6.78,6.80
27/12/2012,6.76,6.78
26/12/2012,6.62,6.64
21/12/2012,6.59,6.61
20/12/2012,6.61,6.63
19/12/2012,6.53,6.55
18/12/2012,6.51,6.53
17/12/2012,6.50,6.52
14/12/2012,6.51,6.53
13/12/2012,6.50,6.52
12/12/2012,6.46,6.48
11/12/2012,6.42,6.44
10/12/2012,6.43,6.45
07/12/2012,6.45,6.47
06/12/2012,6.42,6.44
05/12/2012,6.42,6.44
04/12/2012,6.42,6.44
03/12/2012,6.42,6.44
30/11/2012,6.42,6.44
29/11/2012,6.42,6.44
28/11/2012,6.45,6.47
27/11/2012,6.43,6.45
23/11/2012,6.44,6.46
22/11/2012,6.39,6.41
21/11/2012,6.36,6.38
20/11/2012,6.34,6.36
19/11/2012,6.34,6.36
16/11/2012,6.38,6.40
15/11/2012,6.33,6.35
14/11/2012,6.33,6.35
13/11/2012,6.30,6.32
12/11/2012,6.30,6.32
09/11/2012,6.31,6.33
